Food Item,Price (INR),Restaurant,Rating
Jugaad Cutlet/Vada Pav,125.0,Jugaad Jn.,4.6
Kabab Dal Ke (No O/G),99.0,Jugaad Jn.,4.8
Paan ! Mitha Banarsi Paan,39.0,Jugaad Jn.,3.9
Chole Bhatore,160.0,Jugaad Jn.,4.0
Matar Kachori,175.0,Jugaad Jn.,4.1
Pav Bhaji,155.0,Jugaad Jn.,3.5
Hing Sattu Kachori,175.0,Jugaad Jn.,4.1
Cheese Pav Bhaji,168.0,Jugaad Jn.,4.1
Puri Bhaji,145.0,Jugaad Jn.,4.5
Moong Dal Chilla.,89.0,Jugaad Jn.,4.9
Namkeen Chach,75.0,Jugaad Jn.,4.9
Rose Lassi / Pink Lassi,90.0,Jugaad Jn.,4.9
Jugaad Drink,59.0,Jugaad Jn.,4.9
Nimbu Pani,65.0,Jugaad Jn.,4.3
Aam Panna,85.0,Jugaad Jn.,3.3
Malai Lassi (Kesaria),89.0,Jugaad Jn.,3.1
Chocolate Shake,145.0,Jugaad Jn.,3.2
Kesar Badam Shake,139.0,Jugaad Jn.,4.7
Oreo Shake,149.0,Jugaad Jn.,3.2
Vanilla Shake,119.0,Jugaad Jn.,4.0
Rice Meal Thali,190.0,Jugaad Jn.,4.5
Chole Chawal,160.0,Jugaad Jn.,4.6
Chawal Dal Sabji Combo,159.0,Jugaad Jn.,3.6
Kadhi Chawal Combo,159.0,Jugaad Jn.,3.1
Dal Makhni Chawal,160.0,Jugaad Jn.,4.1
Rajma Chawal,165.0,Jugaad Jn.,4.7
Regular Thali,199.0,Jugaad Jn.,4.6
Special Thali,265.0,Jugaad Jn.,3.5
Premium Thali,295.0,Jugaad Jn.,3.9
Aloo Dum (Dhaba Style),189.0,Jugaad Jn.,4.3
Aloo Paneer Dry,185.0,Jugaad Jn.,4.2
Kadhai Paneer,229.0,Jugaad Jn.,3.3
Kofta Veg. Kofta (Jn Special),219.0,Jugaad Jn.,4.0
Mix Veg HaraBhara Jugaad,199.0,Jugaad Jn.,4.5
Paneer Lababdar,229.0,Jugaad Jn.,4.1
Paneer Makhni (No Onion/garlic),229.0,Jugaad Jn.,3.1
Buy 1 Get 3 - Thin n Crispy Veg,479.0,Pizza Hut,3.6
Buy 1 Get 3 - Medium Veg,329.0,Pizza Hut,4.3
Buy 1 Get 3 - Medium Non Veg,489.0,Pizza Hut,4.1
Buy 1 Get 3 - Thin n Crispy Non Veg,649.0,Pizza Hut,4.7
Country Feast,319.0,Pizza Hut,4.5
Schezwan Margherita,219.0,Pizza Hut,3.7
Mazedar Makhni Paneer,379.0,Pizza Hut,3.4
Corn & Cheese,219.0,Pizza Hut,3.6
Spiced Paneer,259.0,Pizza Hut,5.0
Veggie Feast,259.0,Pizza Hut,4.8
Ultimate Tandoori Veggie,379.0,Pizza Hut,4.8
Mexican Fiesta,319.0,Pizza Hut,3.1
Awesome American Cheesy,379.0,Pizza Hut,3.4
Bold BBQ Veggies,319.0,Pizza Hut,4.0
Veggie Supreme,379.0,Pizza Hut,3.6
Tandoori Paneer,319.0,Pizza Hut,3.1
Margherita,169.0,Pizza Hut,4.9
Chicken Sausage,259.0,Pizza Hut,4.7
Chicken Tikka Supreme,409.0,Pizza Hut,4.1
Sausage & Sweet Corn,289.0,Pizza Hut,4.2
Nawabi Murg Makhni,409.0,Pizza Hut,4.9
Awesome American Cheesy Chicken,379.0,Pizza Hut,4.8
Murg Malai Chicken,379.0,Pizza Hut,4.4
Chicken Pepperoni,379.0,Pizza Hut,4.2
Dhabe Da Keema,319.0,Pizza Hut,4.9
Triple Chicken Feast,409.0,Pizza Hut,4.4
Chicken Supreme,409.0,Pizza Hut,3.6
Chicken Tikka,379.0,Pizza Hut,4.8
